       SIG        ra       dec   modulus
      8.63     27.70    -10.22     18.00
      8.18     44.33    -27.25     18.00
      7.79     31.64    -38.59     16.00
      7.76    359.81    -34.35     16.00
      7.75     26.26    -43.59     17.00
      7.75     96.46    -62.02     16.00
      7.74     57.14    -53.99     17.00
      7.58     26.31    -31.43     23.00
      7.44     45.26    -27.70     17.50
      7.28     25.55    -30.32     16.50
      7.23     60.20    -13.48     16.00
      7.17     48.63    -25.43     16.00
      7.12     37.11     -9.81     16.00
