                name        TS        ra       dec   modulus
        J1951.2+0855   1514.16    297.80      8.92     16.00
        J1834.9+3837   1102.70    278.72     38.62     18.00
        J0740.9+0506    628.90    115.22      5.11     18.00
      RedMaPPer30013    598.98    185.52     15.88     16.00
        J0320.0-2151    556.71     50.01    -21.85     20.50
        J1951.1+0822    447.13    297.77      8.38     18.50
        J0219.6-0305    371.53     34.90     -3.10     21.50
        J1326.3-1128    274.17    201.57    -11.47     18.50
        J1855.9-1823    262.50    283.97    -18.40     16.00
        J1151.0+0140    262.28    177.75      1.68     16.50
        J0512.1-1615    209.63     78.04    -16.26     16.00
        J1921.9-1139    206.91    290.48    -11.65     16.00
        J1417.8+1918    199.68    214.44     19.31     18.00
        J1917.7-1905    198.47    289.41    -19.10     16.00
        J0513.6-0832    193.28     78.40     -8.55     21.00
        J0301.7+0415    182.72     45.43      4.26     16.00
        J2304.9+1456    180.20    346.22     14.95     16.00
        J1330.6+4729    174.29    202.65     47.49     18.50
        J1227.0+3114    172.07    186.75     31.25     17.00
        J1910.5-2434    165.12    287.62    -24.57     18.50
        J0846.1+2834    164.47    131.53     28.58     16.50
      RedMaPPer46452    160.49    146.30     23.87     17.00
        J1907.5-1638    159.62    286.86    -16.65     16.00
        J1021.7+4118    151.31    155.42     41.31     20.50
        J1119.7+3253    124.19    169.91     32.90     18.00
        J0832.1-1843    123.97    128.01    -18.73     17.50
        J1535.4+2635    119.71    233.84     26.59     16.00
        J1850.4+3756    118.02    282.61     37.93     18.00
        J1730.5+5204    115.82    262.62     52.08     16.00
        J1920.2-2233    114.83    290.06    -22.56     16.50
        J0223.3-2121    111.07     35.83    -21.36     16.00
        J1235.2-2317    110.55    188.80    -23.30     16.00
        J1110.4+5543    107.54    167.59     55.73     20.00
        J0228.1+0834    107.23     37.03      8.57     16.00
        J1115.3+1527    101.87    168.83     15.46     20.00
      RedMaPPer14440    101.50    346.87     16.22     18.50
        J0008.2+2913     97.26      2.04     29.22     18.50
        J1226.2+4611     94.33    186.55     46.19     18.50
        J1349.2+4923     92.74    207.29     49.40     16.00
        J2025.2+0356     92.50    306.31      3.94     17.50
        J1915.3-2447     91.10    288.82    -24.79     18.50
        J1119.8-1459     90.49    169.96    -14.99     17.50
        J1726.7+0622     90.34    261.68      6.37     21.50
        J1516.3-0919     89.08    229.06     -9.32     16.00
        J0830.6+6026     87.88    127.65     60.45     16.00
        J1501.0+4029     87.61    225.25     40.50     17.50
            UGC11584     87.12    307.98      1.62     18.50
        J1822.1+2403     86.71    275.54     24.06     17.50
        J1048.5+3736     86.41    162.13     37.61     18.00
        J1909.6-2053     86.31    287.40    -20.89     16.50
        J1912.8+2916     80.81    288.20     29.27     16.00
