       SIG        ra       dec   modulus
      8.63     27.70    -10.22     18.00
      8.18     44.33    -27.25     18.00
      7.79     31.64    -38.59     16.00
      7.76    359.81    -34.35     16.00
      7.75     26.26    -43.59     17.00
      7.75     96.46    -62.02     16.00
      7.74     57.14    -53.99     17.00
      7.58     26.31    -31.43     23.00
      7.44     45.26    -27.70     17.50
      7.28     25.55    -30.32     16.50
      7.23     60.20    -13.48     16.00
      7.17     48.63    -25.43     16.00
      7.12     37.11     -9.81     16.00
      7.00     14.20    -27.61     16.00
      6.97     25.35    -16.44     22.00
      6.94    344.61    -56.36     23.00
      6.93     16.81    -53.05     23.00
      6.91     31.74    -17.64     21.50
      6.88     10.86    -19.16     18.00
      6.86     92.21    -32.19     17.00
      6.85     60.85    -61.88     18.50
      6.84     79.95    -33.81     17.50
      6.83     28.16     -1.75     19.00
      6.82    356.86    -39.08     16.50
      6.78     25.99    -24.55     23.00
      6.78     32.46    -45.44     22.50
      6.74     90.51    -58.01     16.00
      6.67     62.47    -14.72     16.00
      6.66     41.89     -4.18     16.00
      6.66     27.22    -65.57     16.50
      6.65     39.55    -15.44     23.00
      6.64     37.47    -31.88     17.50
      6.58     31.51    -13.46     23.00
      6.51     32.74    -16.11     17.00
      6.50     25.45    -65.22     16.00
      6.48     79.97    -22.43     16.50
      6.47     44.30    -43.46     18.00
      6.46     53.14    -41.44     17.50
      6.46     49.15    -12.48     16.50
      6.46      5.32      2.47     17.50
      6.44     12.27    -64.80     18.50
      6.43     11.20    -41.03     16.00
      6.42     58.92    -32.65     17.50
      6.40    327.10    -39.75     16.00
      6.39     62.77    -27.64     17.00
      6.38     37.60    -24.41     16.50
      6.38    338.13    -42.53     18.00
      6.37     90.19    -31.40     22.50
      6.37     34.69    -33.83     18.00
      6.37    358.98    -49.25     18.00
      6.35     22.84    -54.88     17.50
      6.34     28.64    -27.30     22.50
      6.33     19.25    -28.63     17.00
      6.30     25.46     -9.23     23.00
      6.29     24.79     -8.91     18.50
      6.28     32.28    -43.06     17.50
      6.27     54.23    -27.94     17.50
      6.27     89.89    -49.10     17.50
      6.27     41.97    -26.12     23.00
      6.26     91.01    -50.65     18.00
      6.26     54.09    -45.49     17.50
      6.24     12.28    -62.20     17.50
      6.23     41.73    -30.16     23.00
      6.23      2.26    -40.53     17.00
      6.22     37.82    -18.69     21.50
      6.21    351.08    -50.10     17.00
      6.20     56.87    -21.90     22.00
      6.20     62.02    -27.49     17.00
      6.20     61.69    -59.59     21.50
      6.19     24.89    -51.62     23.00
      6.19     60.69    -32.24     18.00
      6.18     44.15    -17.69     18.00
      6.16    337.51    -48.62     22.00
      6.15     69.60    -47.87     21.50
      6.12     32.55    -38.76     17.50
      6.12     31.22    -36.90     23.00
      6.12    356.07     -0.22     18.00
      6.11     58.18    -53.21     18.50
      6.11     76.44    -21.13     23.00
      6.10     45.17    -41.68     18.00
      6.10     60.18    -50.66     22.50
      6.10    334.85    -43.01     18.50
      6.10     25.48    -44.78     23.00
      6.08     53.68    -53.42     19.50
      6.08      2.94    -60.23     19.00
      6.06     31.76    -29.66     17.50
      6.05     42.08    -61.06     21.50
      6.05     97.51    -47.68     17.50
      6.04    350.93      0.79     17.00
      6.04     32.69    -43.75     22.50
      6.03     58.83    -13.40     17.00
      6.03     59.43    -27.01     17.00
      6.03     33.24    -26.05     20.50
      6.03     25.91     -1.79     19.00
      6.02     38.76    -30.17     19.00
      6.01     55.62    -31.52     22.00
      6.01     20.23    -18.67     16.00
      6.00    349.36    -39.75     21.50
      6.00     52.17    -49.93     19.00
