       SIG        ra       dec   modulus
      8.63     27.70    -10.22     18.00
      7.17     48.63    -25.43     16.00
      8.18     44.33    -27.25     18.00
      7.44     45.26    -27.70     17.50
      7.58     26.31    -31.43     23.00
      7.76    359.81    -34.35     16.00
      7.79     31.64    -38.59     16.00
     37.50     90.19    -61.92     23.00
     37.50     86.04    -61.67     16.00
     12.07     84.89    -61.81     17.50
      7.65     80.50    -61.93     17.50
      7.75     96.46    -62.02     16.00
      9.41     81.86    -62.41     17.00
      7.82     83.35    -62.17     16.00
     37.50     77.20    -63.42     20.00
     11.01     80.18    -62.72     17.00
     37.50     67.81    -66.58     16.00
     10.46     71.12    -65.32     16.00
     37.50     74.94    -63.55     20.50
