        TS        ra       dec   modulus
     97.26      2.04     29.22     18.50
    371.53     34.90     -3.10     21.50
    111.07     35.83    -21.36     16.00
    107.23     37.03      8.57     16.00
    182.72     45.43      4.26     16.00
    556.71     50.01    -21.85     20.50
    209.63     78.04    -16.26     16.00
    193.28     78.40     -8.55     21.00
    628.90    115.22      5.11     18.00
     87.88    127.65     60.45     16.00
    123.97    128.01    -18.73     17.50
    164.47    131.53     28.58     16.50
    151.31    155.42     41.31     20.50
     86.41    162.13     37.61     18.00
    107.54    167.59     55.73     20.00
    101.87    168.83     15.46     20.00
    124.19    169.91     32.90     18.00
     90.49    169.96    -14.99     17.50
    262.28    177.75      1.68     16.50
     94.33    186.55     46.19     18.50
    172.07    186.75     31.25     17.00
    110.55    188.80    -23.30     16.00
    274.17    201.57    -11.47     18.50
    174.29    202.65     47.49     18.50
     92.74    207.29     49.40     16.00
    199.68    214.44     19.31     18.00
     87.61    225.25     40.50     17.50
     89.08    229.06     -9.32     16.00
    119.71    233.84     26.59     16.00
     90.34    261.68      6.37     21.50
    115.82    262.62     52.08     16.00
     86.71    275.54     24.06     17.50
   1102.70    278.72     38.62     18.00
    118.02    282.61     37.93     18.00
    262.50    283.97    -18.40     16.00
    159.62    286.86    -16.65     16.00
     86.31    287.40    -20.89     16.50
    165.12    287.62    -24.57     18.50
     80.81    288.20     29.27     16.00
     91.10    288.82    -24.79     18.50
    198.47    289.41    -19.10     16.00
    114.83    290.06    -22.56     16.50
    206.91    290.48    -11.65     16.00
    447.13    297.77      8.38     18.50
   1514.16    297.80      8.92     16.00
     92.50    306.31      3.94     17.50
    180.20    346.22     14.95     16.00
    101.50    346.87     16.22     18.50
    598.98    185.52     15.88     16.00
    160.49    146.30     23.87     17.00
     87.12    307.98      1.62     18.50
